NODR30A,ALCTRY,ALCREC,IRALCFY,ALCYDAYS,TOTDRINK,IRSEX,AGE_YRS,BOOKED
6,16,1,104,4,104,1,17,2
2,18,1,10,1,10,2,21,2
5,18,1,24,2,24,1,20,2
2,17,1,48,2,48,2,35,2
3,16,1,208,4,208,1,24,2
3,13,1,60,3,60,1,22,1
2,18,1,156,4,156,1,19,2
5,15,1,48,2,48,2,26,2
2,14,1,260,4,260,1,35,1
2,16,1,52,3,52,2,35,2
2,20,1,156,4,156,2,24,2
1,15,1,10,1,10,1,35,2
3,16,1,260,4,260,1,35,2
3,17,1,156,4,156,1,24,2
5,15,1,156,4,156,1,20,1
8,15,1,72,3,72,2,24,2
3,16,1,30,2,30,1,17,2
2,12,1,156,4,156,1,35,1
2,14,1,312,5,312,2,35,2
2,14,1,84,3,84,2,21,2
5,15,1,2,1,2,1,18,2
15,15,1,104,4,104,1,21,2
4,13,1,156,4,156,2,21,2
2,29,1,24,2,24,1,35,2
1,13,1,24,2,24,1,35,2
1,16,1,120,4,120,1,22,2
1,18,1,52,3,52,2,35,2
1,5,1,48,2,48,1,15,2
2,15,1,60,3,60,2,24,2
6,17,1,24,2,24,2,21,2
4,14,1,48,2,48,2,19,2
2,10,1,24,2,24,1,15,2
2,18,1,120,4,120,2,26,2
1,22,1,4,1,4,2,35,2
2,15,1,60,3,60,2,30,2
2,18,1,5,1,5,1,35,2
12,13,1,20,2,20,2,15,2
5,13,1,24,2,24,1,21,1
18,13,1,30,2,30,1,20,2
3,19,1,156,4,156,1,24,2
1,18,1,60,3,60,1,35,2
5,18,1,96,3,96,1,35,2
2,14,1,5,1,5,1,15,2
3,16,1,4,1,4,1,35,2
6,13,1,48,2,48,1,18,2
2,16,1,156,4,156,2,26,2
1,17,1,96,3,96,1,24,2
8,17,1,5,1,5,2,18,2
8,13,1,7,1,24,2,13,1
1,14,1,6,1,6,1,35,2
4,13,1,84,3,84,1,22,2
4,16,1,156,4,156,1,35,2
4,15,1,36,2,36,2,17,2
2,12,1,52,3,52,2,30,2
1,14,1,3,1,3,2,18,2
2,11,1,5,1,5,2,15,2
7,17,1,104,4,104,1,22,2
7,15,1,144,4,144,2,19,2
7,16,1,15,2,15,1,19,1
2,14,1,36,2,36,1,35,2
3,13,1,36,2,36,2,20,2
2,16,1,36,2,36,1,19,2
2,18,1,36,2,36,2,35,2
1,5,1,52,3,52,2,50,2
5,12,1,240,4,240,1,18,2
3,14,1,156,4,156,2,21,2
1,23,1,36,2,36,2,26,2
1,14,1,24,2,24,2,24,1
1,21,1,7,1,7,2,50,2
8,17,1,260,4,260,1,26,1
1,13,1,4,1,4,2,20,1
5,13,1,260,4,260,1,19,1
3,17,1,120,4,120,1,22,2
6,14,1,104,4,104,2,20,2
8,15,1,156,4,156,1,22,2
6,13,1,48,2,48,2,30,2
2,15,1,72,3,72,2,35,2
2,16,1,104,4,104,1,24,1
1,14,1,120,4,120,2,22,2
1,12,1,1,1,1,1,13,2
2,18,1,104,4,104,2,50,2
8,18,1,48,2,48,2,24,2
6,18,1,52,3,52,2,24,2
7,15,1,156,4,156,1,19,2
2,12,1,104,4,104,2,26,2
7,15,1,104,4,104,1,19,2
2,17,1,53,3,364,1,17,1
5,15,1,12,2,12,2,30,2
20,15,1,96,3,96,2,50,2
1,12,1,52,3,52,2,21,1
4,13,1,36,2,36,2,16,2
5,14,1,52,3,52,1,16,2
3,14,1,208,4,208,1,35,2
2,15,1,104,4,104,1,35,2
2,15,1,12,2,12,1,35,2
4,9,1,6,1,6,1,26,1
2,14,1,36,2,36,2,30,2
3,15,1,52,3,52,1,35,2
2,25,1,52,3,52,1,50,2
5,13,1,260,4,260,1,35,2
1,12,1,2,1,2,2,14,2
5,15,1,36,2,36,2,18,2
9,15,1,104,4,104,1,22,1
3,14,1,24,2,24,2,16,2
6,19,1,42,2,52,2,20,2
7,14,1,24,2,24,2,17,2
4,17,1,48,2,48,2,24,1
6,10,1,10,1,10,1,19,2
3,17,1,5,1,5,2,35,2
2,15,1,156,4,156,1,35,2
2,16,1,208,4,208,2,35,2
5,14,1,156,4,156,2,20,2
2,17,1,8,1,8,2,35,1
1,16,1,1,1,1,2,17,2
2,12,1,156,4,156,2,14,2
10,13,1,52,3,52,2,26,2
